DominantCycle,DominantCycleAmplitude
0.955476,17.3362
0.955476,18.3962
0.955476,18.9825
0.955476,18.8363
0.955476,18.5176
0.955476,18.6215
0.955476,18.8531
0.955476,18.895
0.955476,19.0657
0.955476,19.0847
0.955476,18.402
0.955476,18.1674
0.955476,18.8217
0.955476,19.2974
0.955476,19.5267
0.955476,19.5833
0.955476,19.2231
0.955476,18.6096
0.955476,18.2873
0.955476,18.582
0.955476,18.8131
0.955476,18.7798
0.955476,18.7915
0.955476,19.2155
0.88914,19.3729
0.88914,17.5371
0.88914,14.7514
0.88914,14.6885
0.88914,16.356
0.955476,17.9736
0.955476,18.3442
0.955476,18.2737
0.955476,18.0285
0.955476,17.9827
0.955476,18.4085
0.955476,18.3844
0.955476,18.4038
0.955476,19.1438
0.955476,18.8033
0.955476,17.8582
0.955476,17.9473
0.88914,18.5027
0.88914,18.2418
0.88914,18.6534
0.88914,18.907
0.88914,18.0553
0.88914,18.082
0.88914,18.5435
0.88914,17.9667
0.88914,17.8157
0.88914,18.2753
0.88914,17.9809
0.88914,17.4244
0.88914,17.1718
0.88914,16.5641
0.88914,16.0975
0.88914,16.589
0.955476,18.4828
0.955476,19.8076
0.955476,19.0721
0.955476,18.2908
0.955476,18.0572
0.88914,19.1083
0.955476,20.3183
0.955476,19.4837
0.955476,17.4054
0.955476,16.7103
0.955476,15.7003
0.955476,14.2079
0.955476,15.6791
0.955476,16.5496
0.955476,16.0368
0.955476,16.0781
0.955476,16.2154
0.955476,16.407
0.955476,16.9374
0.955476,17.4338
0.955476,17.2985
0.955476,16.884
0.955476,16.9625
0.955476,16.6838
0.955476,16.5652
0.955476,16.9772
0.955476,17.5837
0.955476,17.9751
0.955476,18.0291
0.955476,17.6972
0.955476,17.6601
0.955476,17.8141
0.955476,17.1846
0.955476,16.8348
0.955476,17.5258
0.955476,17.9351
0.955476,18.3125
0.955476,18.9261
0.955476,19.1368
0.955476,18.3643
0.955476,17.4256
0.955476,17.3596
0.955476,17.8706
0.955476,18.2266
0.955476,18.3777
0.955476,18.2382
0.955476,18.5862
0.955476,18.7908
0.955476,18.2396
0.88914,17.8347
0.955476,17.5375
0.955476,17.0516
0.955476,16.895
0.955476,17.3472
0.955476,17.4981
0.88914,17.705
0.955476,17.9707
0.955476,18.0693
0.955476,18.2883
0.955476,18.1169
0.955476,17.6658
0.955476,17.4464
0.955476,17.1986
0.955476,17.6031
0.88914,18.4222
0.88914,17.8791
0.955476,17.7116
0.955476,18.6734
0.955476,18.4004
0.955476,17.473
0.955476,17.1112
0.955476,16.9669
0.955476,17.0765
0.955476,17.4578
0.955476,17.7107
0.955476,17.6883
0.955476,17.7123
0.955476,18.0485
0.955476,18.3878
0.955476,18.0212
0.955476,17.6426
0.955476,17.813
0.955476,18.2306
0.955476,18.8985
0.955476,18.3928
0.955476,16.8584
0.955476,16.6285
0.955476,17.791
0.955476,18.7623
0.955476,19.2058
0.955476,18.8254
0.955476,18.265
0.955476,17.8678
0.955476,17.3303
0.955476,17.1892
0.955476,17.3215
0.955476,17.6105
0.955476,18.3869
0.955476,19.7231
0.955476,20.8129
0.955476,20.7115
0.955476,19.7685
0.955476,18.977
0.955476,18.1868
0.955476,17.7118
0.955476,17.7914
0.955476,18.2286
0.955476,18.304
0.955476,18.0172
0.955476,18.3026
0.955476,18.6782
0.955476,18.7735
0.955476,18.7037
0.955476,18.6648
0.955476,18.4193
0.955476,17.8465
